Server_0	203.63.9.216:25565
Server_1	107.174.243.252:25565
Server_2	63.135.164.180:25565
Server_3	162.33.27.167:25565
Server_4	51.89.253.38:25565
Server_5	159.69.217.57:25565
Server_6	51.254.26.100:25565
Server_7	146.86.140.102:25565
Server_8	135.148.5.238:25565
Server_9	185.85.196.43:25565
Server_10	118.27.5.122:25565
Server_11	5.62.123.73:25565
Server_12	118.27.1.53:25565
Server_13	142.44.142.132:25565
Server_14	64.142.54.202:25565
Server_15	82.161.252.219:25565
Server_16	163.44.180.25:25565
Server_17	152.70.96.87:25565
Server_18	91.109.116.29:25565
Server_19	173.209.181.70:25565
Server_20	23.88.100.25:25565
Server_21	150.136.232.4:25565
Server_22	131.113.39.227:25565
Server_23	51.81.178.163:25565
Server_24	77.169.154.178:25565
Server_25	164.132.157.14:25565
Server_26	133.167.100.142:25565
Server_27	60.144.239.89:25565
Server_28	118.27.31.14:25565
Server_29	135.148.226.79:25565
Server_30	104.128.51.162:25565
Server_31	63.135.164.61:25565
Server_32	118.27.106.245:25565
Server_33	46.59.56.34:25565
Server_34	185.208.204.5:25565
Server_35	85.214.61.7:25565
Server_36	192.227.135.108:25565
Server_37	23.94.146.81:25565
Server_38	107.152.138.26:25565
Server_39	76.164.204.228:25565
Server_40	199.192.22.120:25565
Server_41	210.99.117.101:25565
Server_42	52.60.230.131:25565
Server_43	129.241.87.34:25565
Server_44	73.8.229.30:25565
Server_45	148.251.182.214:25565
Server_46	66.242.7.134:25565
Server_47	51.222.62.162:25565
Server_48	73.238.149.121:25565
Server_49	98.229.226.179:25565
Server_50	162.55.120.105:25565
Server_51	194.163.147.240:25565
Server_52	160.251.51.160:25565
Server_53	130.185.239.140:25565
Server_54	51.81.87.18:25565
Server_55	209.242.65.248:25565
Server_56	178.32.72.36:25565
Server_57	42.191.80.252:25565
Server_58	104.168.46.195:25565
Server_59	104.208.66.63:25565
Server_60	31.220.20.144:25565
Server_61	185.223.28.253:25565
Server_62	37.157.252.201:25565
Server_63	195.90.200.133:25565
Server_64	119.252.191.190:25565
Server_65	71.167.94.201:25565
Server_66	51.81.122.200:25565
Server_67	77.68.25.235:25565
Server_68	133.114.93.41:25565
Server_69	114.67.111.203:25565
Server_70	198.50.225.227:25565
Server_71	147.135.93.142:25565
Server_72	178.33.46.53:25565
Server_73	163.44.253.130:25565
Server_74	198.55.118.157:25565
Server_75	152.70.58.161:25565
Server_76	135.148.135.220:25565
Server_77	94.250.206.180:25565
Server_78	94.250.205.17:25565
Server_79	73.142.160.88:25565
Server_80	14.39.78.123:25565
Server_81	50.116.39.184:25565
Server_82	74.211.96.179:25565
Server_83	54.37.72.246:25565
Server_84	64.227.10.189:25565
Server_85	104.41.220.193:25565
Server_86	95.45.13.173:25565
Server_87	152.228.182.184:25565
Server_88	135.148.56.90:25565
Server_89	89.166.145.54:25565
Server_90	141.144.206.154:25565
Server_91	106.156.252.103:25565
Server_92	45.81.235.94:25565
Server_93	160.251.45.240:25565
Server_94	54.36.175.75:25565
Server_95	198.23.199.221:25565
Server_96	152.136.99.189:25565
Server_97	118.27.31.87:25565
Server_98	73.188.111.160:25565
Server_99	223.165.66.52:25565
